Platform,Full Name,Link
2600,Atari 2600,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/2600.png?raw=true
3DO,Panasonic 3DO,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/3DO.png?raw=true
3DS,Nintendo 3DS,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/3DS.png?raw=true
DC,Dream Cast,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/DC.png?raw=true
DS,Nintendo DS,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/DS.png?raw=true
GB,GameBoy,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/GB.png?raw=true
GBA,GameBoy  Advance ,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/GBA.png?raw=true
GC,GameCube,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/GC.png?raw=true
GEN,Sega Gensis,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/GEN.png?raw=true
GG,Sega Game Gear,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/GG.png?raw=true
N64,Nintendo 64,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/N64.png?raw=true
NES,Nintendo NES,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/NES.png?raw=true
NG,NeoGeo,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/NG.png?raw=true
PC,Personal Computer,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/PC.png?raw=true
PCFX,PC-FX (NEC),https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/PCFX.png?raw=true
PS,PlayStation ,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/PS.png?raw=true
PS2,PlayStation 2,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/PS2.png?raw=true
PS3,PlayStation 3,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/PS3.png?raw=true
PS4,PlayStation 4,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/PS4.png?raw=true
PSP,PlayStation Portable,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/PSP.png?raw=true
PSV,PlayStation Vita,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/PSV.png?raw=true
SAT,Sega Saturn,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/SAT.png?raw=true
SCD,Sega CD,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/SCD.png?raw=true
SNES,Super Nintendo Entertainment System,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/SNES.png?raw=true
TG16,TurboGrafx16,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/TG16.png?raw=true
Wii,Nintendo Wii,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/Wii.png?raw=true
WiiU,Nintendo Wii U,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/WiiU.png?raw=true
WS,Wonder Swan (Bandai),https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/WS.png?raw=true
X360,Xbox 360,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/X360.png?raw=true
XB,Xbox,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/XB.png?raw=true
XOne,Xbox One,https://github.com/gentallman/game_sales_analysis/blob/master/Assets/Consoles/XOne.png?raw=true
